Model,Metric,Score,Smoothing Constant (w)
Exponential Smoothing,MAPE,0.065,0.38
Exponential Smoothing,MAD,3.5199,0.38
Exponential Smoothing,RMSE,6.4224,0.38
Exponential Smoothing-log,MAPE,0.0653,0.38
Exponential Smoothing-log,MAD,3.5338,0.38
Exponential Smoothing-log,RMSE,6.4337,0.38
Exponential Smoothing-sqrt,MAPE,0.0652,0.38
Exponential Smoothing-sqrt,MAD,3.5268,0.38
Exponential Smoothing-sqrt,RMSE,6.4281,0.38
Exponential Smoothing,MAPE,0.0649,0.39
Exponential Smoothing,MAD,3.5145,0.39
Exponential Smoothing,RMSE,6.4181,0.39
Exponential Smoothing-log,MAPE,0.0652,0.39
Exponential Smoothing-log,MAD,3.5281,0.39
Exponential Smoothing-log,RMSE,6.4291,0.39
Exponential Smoothing-sqrt,MAPE,0.065,0.39
Exponential Smoothing-sqrt,MAD,3.5213,0.39
Exponential Smoothing-sqrt,RMSE,6.4236,0.39
Exponential Smoothing,MAPE,0.0648,0.4
Exponential Smoothing,MAD,3.5089,0.4
Exponential Smoothing,RMSE,6.4135,0.4
Exponential Smoothing-log,MAPE,0.0651,0.4
Exponential Smoothing-log,MAD,3.5222,0.4
Exponential Smoothing-log,RMSE,6.4243,0.4
Exponential Smoothing-sqrt,MAPE,0.0649,0.4
Exponential Smoothing-sqrt,MAD,3.5155,0.4
Exponential Smoothing-sqrt,RMSE,6.4188,0.4
Exponential Smoothing,MAPE,0.0647,0.41
Exponential Smoothing,MAD,3.5029,0.41
Exponential Smoothing,RMSE,6.4087,0.41
Exponential Smoothing-log,MAPE,0.0649,0.41
Exponential Smoothing-log,MAD,3.5159,0.41
Exponential Smoothing-log,RMSE,6.4192,0.41
Exponential Smoothing-sqrt,MAPE,0.0648,0.41
Exponential Smoothing-sqrt,MAD,3.5094,0.41
Exponential Smoothing-sqrt,RMSE,6.4139,0.41
Exponential Smoothing,MAPE,0.0646,0.42
Exponential Smoothing,MAD,3.4968,0.42
Exponential Smoothing,RMSE,6.4037,0.42
Exponential Smoothing-log,MAPE,0.0648,0.42
Exponential Smoothing-log,MAD,3.5095,0.42
Exponential Smoothing-log,RMSE,6.414,0.42
Exponential Smoothing-sqrt,MAPE,0.0647,0.42
Exponential Smoothing-sqrt,MAD,3.5031,0.42
Exponential Smoothing-sqrt,RMSE,6.4088,0.42
Exponential Smoothing,MAPE,0.0644,0.43
Exponential Smoothing,MAD,3.4904,0.43
Exponential Smoothing,RMSE,6.3986,0.43
Exponential Smoothing-log,MAPE,0.0647,0.43
Exponential Smoothing-log,MAD,3.5028,0.43
Exponential Smoothing-log,RMSE,6.4086,0.43
Exponential Smoothing-sqrt,MAPE,0.0646,0.43
Exponential Smoothing-sqrt,MAD,3.4966,0.43
Exponential Smoothing-sqrt,RMSE,6.4036,0.43
Exponential Smoothing,MAPE,0.0643,0.44
Exponential Smoothing,MAD,3.4839,0.44
Exponential Smoothing,RMSE,6.3934,0.44
Exponential Smoothing-log,MAPE,0.0646,0.44
Exponential Smoothing-log,MAD,3.496,0.44
Exponential Smoothing-log,RMSE,6.4031,0.44
Exponential Smoothing-sqrt,MAPE,0.0644,0.44
Exponential Smoothing-sqrt,MAD,3.4899,0.44
Exponential Smoothing-sqrt,RMSE,6.3982,0.44
Exponential Smoothing,MAPE,0.0642,0.45
Exponential Smoothing,MAD,3.4772,0.45
Exponential Smoothing,RMSE,6.3881,0.45
Exponential Smoothing-log,MAPE,0.0644,0.45
Exponential Smoothing-log,MAD,3.489,0.45
Exponential Smoothing-log,RMSE,6.3975,0.45
Exponential Smoothing-sqrt,MAPE,0.0643,0.45
Exponential Smoothing-sqrt,MAD,3.4831,0.45
Exponential Smoothing-sqrt,RMSE,6.3928,0.45
Exponential Smoothing,MAPE,0.0641,0.46
Exponential Smoothing,MAD,3.4704,0.46
Exponential Smoothing,RMSE,6.3827,0.46
Exponential Smoothing-log,MAPE,0.0643,0.46
Exponential Smoothing-log,MAD,3.482,0.46
Exponential Smoothing-log,RMSE,6.3919,0.46
Exponential Smoothing-sqrt,MAPE,0.0642,0.46
Exponential Smoothing-sqrt,MAD,3.4762,0.46
Exponential Smoothing-sqrt,RMSE,6.3873,0.46
Exponential Smoothing,MAPE,0.0639,0.47
Exponential Smoothing,MAD,3.4636,0.47
Exponential Smoothing,RMSE,6.3773,0.47
Exponential Smoothing-log,MAPE,0.0641,0.47
Exponential Smoothing-log,MAD,3.4748,0.47
Exponential Smoothing-log,RMSE,6.3862,0.47
Exponential Smoothing-sqrt,MAPE,0.064,0.47
Exponential Smoothing-sqrt,MAD,3.4692,0.47
Exponential Smoothing-sqrt,RMSE,6.3817,0.47
